record_type,id,version_label,release_date,is_synthetic,scf_version_id,domain_code,domain_name,description,sort_order,control_code,control_title,control_description,framework_code,framework_name,framework_version,publisher,category,requirement_code,requirement_title,requirement_text,scf_domain_id,scf_framework_id,scf_framework_requirement_id,scf_control_id,relationship_type,mapping_source,is_official
"mapping","","","","false","","","","","","PRI-02","","","EU-GDPR","","","","","Art.25","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","SEA-01","","","EU-GDPR","","","","","Art.25","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","EU-GDPR","","","","","Art.32","Security of processing","","","","","","","",""
"mapping","","","","false","","","","","","CRY-01","","","EU-GDPR","","","","","Art.32","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","IAC-01","","","EU-GDPR","","","","","Art.32","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","EU-GDPR","","","","","Art.33","Notification of personal data breach","","","","","","","",""
"mapping","","","","false","","","","","","IRO-03","","","EU-GDPR","","","","","Art.33","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","EU-GDPR","","","","","Art.15-22","Data subject rights","","","","","","","",""
"mapping","","","","false","","","","","","PRI-03","","","EU-GDPR","","","","","Art.15-22","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","CIS-CSC-8","","","","","CIS-01","Inventory and Control of Enterprise Assets","","","","","","","",""
"mapping","","","","false","","","","","","AST-01","","","CIS-CSC-8","","","","","CIS-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","AST-02","","","CIS-CSC-8","","","","","CIS-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","CIS-CSC-8","","","","","CIS-04","Secure Configuration of Enterprise Assets","","","","","","","",""
"mapping","","","","false","","","","","","CFG-01","","","CIS-CSC-8","","","","","CIS-04","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","CFG-02","","","CIS-CSC-8","","","","","CIS-04","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","CIS-CSC-8","","","","","CIS-06","Access Control Management","","","","","","","",""
"mapping","","","","false","","","","","","IAC-01","","","CIS-CSC-8","","","","","CIS-06","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","IAC-05","","","CIS-CSC-8","","","","","CIS-06","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","CIS-CSC-8","","","","","CIS-08","Audit Log Management","","","","","","","",""
"mapping","","","","false","","","","","","MON-01","","","CIS-CSC-8","","","","","CIS-08","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","MON-02","","","CIS-CSC-8","","","","","CIS-08","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","CIS-CSC-8","","","","","CIS-10","Malware Defenses","","","","","","","",""
"mapping","","","","false","","","","","","END-02","","","CIS-CSC-8","","","","","CIS-10","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","CIS-CSC-8","","","","","CIS-14","Security Awareness and Skills Training","","","","","","","",""
"mapping","","","","false","","","","","","SAT-01","","","CIS-CSC-8","","","","","CIS-14","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","SAT-02","","","CIS-CSC-8","","","","","CIS-14","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","CIS-CSC-8","","","","","CIS-16","Application Software Security","","","","","","","",""
"mapping","","","","false","","","","","","TDA-01","","","CIS-CSC-8","","","","","CIS-16","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","WEB-01","","","CIS-CSC-8","","","","","CIS-16","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-800-53","","","","","AC-2","Account Management","","","","","","","",""
"mapping","","","","false","","","","","","IAC-01","","","NIST-800-53","","","","","AC-2","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","IAC-02","","","NIST-800-53","","","","","AC-2","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-800-53","","","","","AU-2","Event Logging","","","","","","","",""
"mapping","","","","false","","","","","","MON-01","","","NIST-800-53","","","","","AU-2","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","MON-03","","","NIST-800-53","","","","","AU-2","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-800-53","","","","","CM-6","Configuration Settings","","","","","","","",""
"mapping","","","","false","","","","","","CFG-01","","","NIST-800-53","","","","","CM-6","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","CFG-02","","","NIST-800-53","","","","","CM-6","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-800-53","","","","","CP-2","Contingency Plan","","","","","","","",""
"mapping","","","","false","","","","","","BCD-01","","","NIST-800-53","","","","","CP-2","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","BCD-03","","","NIST-800-53","","","","","CP-2","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-800-53","","","","","IA-2","Identification and Authentication","","","","","","","",""
"mapping","","","","false","","","","","","IAC-02","","","NIST-800-53","","","","","IA-2","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","IAC-03","","","NIST-800-53","","","","","IA-2","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-800-53","","","","","IR-4","Incident Handling","","","","","","","",""
"mapping","","","","false","","","","","","IRO-01","","","NIST-800-53","","","","","IR-4","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","IRO-02","","","NIST-800-53","","","","","IR-4","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-800-53","","","","","RA-3","Risk Assessment","","","","","","","",""
"mapping","","","","false","","","","","","RSK-01","","","NIST-800-53","","","","","RA-3","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","RSK-02","","","NIST-800-53","","","","","RA-3","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-800-53","","","","","SC-8","Transmission Confidentiality and Integrity","","","","","","","",""
"mapping","","","","false","","","","","","CRY-01","","","NIST-800-53","","","","","SC-8","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","NET-03","","","NIST-800-53","","","","","SC-8","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-800-53","","","","","SI-2","Flaw Remediation","","","","","","","",""
"mapping","","","","false","","","","","","VPM-01","","","NIST-800-53","","","","","SI-2","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","VPM-03","","","NIST-800-53","","","","","SI-2","","","","","","","related","SCF 2024.4 official crosswalk","true"
